Date,Site,Month,Copepods
21-Jul,CB,July,248.8962327
22-Jul,CB,July,105.7582848
23-Jul,CB,July,86.25226321
24-Jul,CB,July,245.7052554
18-Aug,CB,August,223.3862906
19-Aug,CB,August,1490.579928
20-Aug,CB,August,17418.69077
21-Aug,CB,August,3300.867986
21-Jul,NS,July,734.7261263
22-Jul,NS,July,1445.611803
23-Jul,NS,July,3764.890579
24-Jul,NS,July,133.2678283
18-Aug,NS,August,1213.689518
19-Aug,NS,August,38147.75201
20-Aug,NS,August,2577.239722
21-Aug,NS,August,26263.97296
21-Jul,BB,July,NA
22-Jul,BB,July,292.2419577
23-Jul,BB,July,122.0025706
24-Jul,BB,July,207.4593261
18-Aug,BB,August,NA
19-Aug,BB,August,42975.41454
20-Aug,BB,August,57976.48546
21-Aug,BB,August,21175.1588